CodigoEstacao,Nome,telem
13438000,ASSIS BRASIL,0
13439000,ALDEIA DOS PATOS,1
13440000,INAMPARI,0
13445000,PONTE BRASIL-PERU,1
13450000,ASSIS BRASIL,0
13450010,ASSIS BRASIL - CPRM,0
13459000,BRASILÉIA,0
13460000,BRASILÉIA (Ponte Internacional Wilson Pinheiro),0
13470000,BRASILÉIA,1
13470010,BRASILÉIA - CPRM,0
13490000,EPITACIOLÂNDIA (Colônia São Bento),0
13540000,COLÔNIA DOLORES (XAPURI),1
13550000,XAPURI,1
13550001,XAPURI,0
13551000,XAPURI - PCD,0
13560000,FAZENDA PERSEVERANÇA,0
13568000,CAPIXABA (Colocação São José),1
13570000,FAZENDA ITÚ,0
13572000,ESPALHA (Seringal Belo Horizonte),1
13578000,RIO ROLA (Ramal do Barro Alto),1
13580000,FAZENDA SANTO AFONSO,0
13600000,RIO BRANCO,0
13600002,RIO BRANCO,1
13600004,RIO BRANCO - AUXILIAR,0
13600010,RIO BRANCO - CPRM,0
13601000,RIO BRANCO,0
13610000,PORTO ACRE,0
13610001,PORTO ACRE,1
13650000,FLORIANO PEIXOTO,1
13700000,BOCA DO ACRE,0
13700004,BOCA DO ACRE - AUXILIAR,0
13710000,VALPARAÍSO - MONTANTE,0
13710001,VALPARAÍSO - MONTANTE,1
13730000,SERINGAL SÃO PEDRO,0
13740000,FAZENDA BORANGABA,0
13750000,SERINGAL FORTALEZA,0
13770000,IQUIRI,0
13830000,CACHOEIRA FORTALEZA - MONTANTE,0
13840000,CACHOEIRA FORTALEZA,0
13840001,CACHOEIRA FORTALEZA - JUSANTE,0
13845000,CACHOEIRA DO MEIO,0
13848000,GAIVOTÃO,0
13849000,JURENÉ,0
13849100,CACHOEIRA SANTO ANTÔNIO,0
13850000,SÃO GREGÓRIO,0
13851000,SERINGAL FLORESTA,0
13870000,LÁBREA,1
13870002,LÁBREA (DNPVN),0
13880000,CANUTAMA,0
13885000,CRISTO,1
13885500,FAZENDA BOA VISTA,0
13886000,BACABA,0
13887000,BACABA,0
13900000,CASTANHAL PATÚ,0
13910000,BATURITÉ,0
13920000,ITATUBA,0
13920900,TAPAUÁ,0
13950000,BEABÁ (CARIUACANGA),0
13955000,BEABÁ,0
13960000,ARUMÃ - MONTANTE,0
13962000,ARUMÃ - JUSANTE,1
13980000,PARICATUBA,0
13989900,RIO PURUS (MONTANTE),0
13990000,BERURI,1
13991000,FOZ DO PURUS MONTANTE,0
13992000,FOZ DO PURUS,0
13992100,RIO PURUS (JUSANTE),0
14000500,YURUPARI,0
14000600,MANDI,0
14000700,CERROS LOS,0
14000800,SAN ANTÔNIO,0
14000900,MITU AUTOMATICA,0
14001000,PITUNA,0
14010000,QUERARI,0
14020000,PARQUE CAPARU,0
14050000,ANAMÃ,0
14050040,ANAMÃ,0
14070000,MANACAPURU MONTANTE,0
14090000,RIO SOLIMÕES,0
14100000,MANACAPURU,1
14100100,MANAQUIRI (CEMITÉRIO),0
14101000,IRANDUBA,0
14101100,RIO AMAZONAS,0
14110000,CUCUÍ,1
14200000,FAZENDA BOM JARDIM,0
14200500,PORTO DO LAGO JANAUARI,0
14201000,COMUNIDADE SANTA LUZIA,0
14210000,XIBORENINHA,0
14215000,SÃO JOAQUIM,0
14220000,LOURO POÇO,0
14222000,RIO MIRITI - MONTANTE,0
14223000,RIRIO MIRITI,0
14230000,MISSÃO IÇANA,0
14235200,FAZENDA RECREIO,0
14250000,SÃO FELIPE,0
14260000,UARAÇU,0
14265500,IGARAPÉ BARRO BRANCO (AV. JOSÉ LINDOSO),0
14279000,IGARAPÉ DO FRANCO (MONTANTE),0
14279050,IGARAPÉ DO FRANCO (JUSANTE),0
14280000,TARAQUA,0
14280001,TARAQUÁ,1
14281000,CUNURI SWOT,0
14300000,PARI CACHOEIRA,0
14310000,CUNURI,0
14320000,SÃO GABRIEL DA CACHOEIRA,0
14320001,SÃO GABRIEL DA CACHOEIRA,0
14325000,TUMBIRA,0
14330000,CURICURIARI,1
14350000,JUSANTE DA CACHOEIRA DO CAJU,0
14370000,BOM JESUS DO MARIE,0
14380000,MISSÃO MATURACÁ,0
14400000,TAPURUQUARA,0
14420000,SERRINHA,1
14421000,BACURI,0
14422000,ACARIQUARA,0
14425000,CACHOEIRA ALIANÇA,0
14427900,CUMARU,0
14428000,VILA CONCEIÇÃO - MONTANTE,0
14430000,VILA CONCEIÇÃO,0
14440000,POSTO AJURICABA,0
14450000,JALAUACA,0
14452000,SAMAUMA,0
14470900,PRAIA DO CUXARÁ,0
14480000,BARCELOS,0
14480002,BARCELOS,1
14485000,MISSÃO AUARI,0
14485010,MISSÃO AUARIS - JUSANTE,0
14488000,UAICÁS,0
14488500,AMAJARI,0
14489000,MARACÁ,1
14490000,FAZENDA FONTE NOVA,0
14495000,FAZENDA CAJUPIRANGA,1
14500000,MOCIDADE,1
14500001,BOA VISTA,0
14515000,FAZENDA PASSARÃO,1
14515001,BOA VISTA,0
14520000,SÃO MARCOS,0
14521000,BOA VISTA,0
14526000,BONFIM,0
14526001,BONFIM,0
14526400,RIO MAÚ,0
14526500,FAZENDA NOVO DESTINO,0
14527000,PONTE DO TACUTU,1
14527001,BONFIM,0
14527500,NORMÂNDIA,0
14528000,FAZENDA PARAÍSO,0
14528001,BONFIM,0
14529000,FAZENDA NOVO DESTINO,0
14530000,VILA SURUMU,1
14530001,PACARAIMA,0
14530080,GAVIÃO,0
14540000,FAZENDA BANDEIRA BRANCA,1
14544080,BACURAU,0
14545060,TIPOREN,0
14550000,MALOCA DO CONTÃO,0
14550001,PACARAIMA,0
14550080,SANTO ANTÔNIO II,0
14558000,FAZENDA PARAÍSO,1
14560000,MALOCA AILAN,0
14565000,FAZENDA CAPELA,0
14567000,BOA VISTA,0
14568000,BOA VISTA,0
14569000,BOA VISTA,0
14570000,SÍTIO JARAGUÁ,0
14620000,BOA VISTA,1
14620001,BOA VISTA,0
14630000,BOA VISTA,0
14650000,POSTO FUNAI,0
14680000,FAZENDA SANTO AMARO,0
14680001,FÉ E ESPERANÇA,1
14680002,ALTO ALEGRE,0
14690000,MUCAJAÍ,1
14690001,MUCAJAÍ,0
14700000,BOCA DA ESTRADA (SÃO FRANCISCO),0
14710000,CARACARAÍ,1
14711000,CARACARAÍ,0
14740000,FAZENDA ANAUÁ,1
14750000,MISSÃO CATRIMANI,0
14790000,SANTA MARIA DO BOIAÇU,1
14800000,BOTO,0
14810000,FAZENDA ANAUÁ,0
14810001,CARACARAÍ,0
14820000,CARACARAÍ,0
14830000,CARACARAÍ,0
14839000,CANTA,0
14839800,PRAIA DO IZAIAS,0
14839900,PORTO DE MOURA,0
14840000,MOURA,1
14840900,RIO ALALAÚ (PONTE SOBRE O RIO),0
14845000,FAZENDA SÃO JOSÉ,0
14845001,RORAINÓPOLIS,0
14850000,BASE ALALAÚ,1
14855000,UMANAPANA,0
14860000,DEMOCRACIA,0
14870000,SÃO FRANCISCO,0
14876000,SERINGALZINHO,0
14880000,BARURI,0
14900000,AIRÃO,0
14900020,RUINAS DO VELHO AIRÃO,0
14900050,NOVO AIRÃO,0
14900100,ESTAÇÃO DE MONTANTE,0
14900150,ESTAÇÃO INTERMEDIÁRIA,0
14900900,PONTE DO RIO ARIAÚ,0
14901000,RIO NEGRO,0
14910000,PARICATUBA,0
14910010,VILA DO PARICATUBA,0
14910900,RIO NEGRO (PONTA NEGRA),0
14910901,IGARAPÉ DO GIGANTE (RUA MARACANÃ),0
14910905,IGARAPÉ DA REDENÇÃO (RUA GOIÂNIA),0
14910907,IGARAPÉ DO GIGANTE (AV. JOSÉ MOACIR TEBERGA),0
14910909,IGARAPÉ DO GIGANTE (AV. CECÍLIA MEIRELES),0
14910910,IGARAPÉ DO GIGANTE (AV. DO TURISMO),0
14910920,IGARAPÉ DOS FRANCESES (RAIMUNDO PARENTE),0
14910925,IGARAPÉ DO MINDU  (NOVO ALEIXO),0
14910928,IGARAPÉ GOIABINHA (PROX. E.T.E. TIMBIRAS),0
14910929,IGARAPÉ ACARIQUARA (COSME FERREIRA),0
14910930,IGARAPÉ DO MINDU (PROX. AO PARQUE),0
14910931,IGARAPÉ DO SESC,0
14910932,IGARAPÉ DA SAPOLÂNDIA (RUA ALVARO MAIA),0
14910935,IGARAPÉ DO BINDÁ (AV. MARIO IPIRANGA),0
14910950,RIO NEGRO (PRAIA DA LUA),0
14911000,TATU PARICATUBA,0
14915000,MONTANTE FOZ TARUMÃ,0
14920000,BACIA REPRESENTATIVA,0
14940000,BACIA REPRESENTATIVA,0
14940020,RIO TARUMÃ (BR-174),0
14940040,IGARAPÉ TARUMÃ-AÇU (RAMAL DO PAU ROSA),0
14940047,RIO TARUMÃ-AÇU (CONFLUÊNCIA IGARAPÉ DO LEÃO),0
14940050,RIO TARUMÃ - MONTANTE,0
14940052,RIO TARUMÃ-AÇU (PRÓXIMA VIVENDA MÃEMAIA),0
14940054,RIO TARUMÃ-AÇU (PRÓXIMO ESTALEIRO ERAM),0
14940056,RIO TARUMÃ-AÇU (PRÓXIMO FLUTUANTE PEIXE-BOI),0
14940058,RIO TARUMÃ-AÇU (PRÓXIMA PRAIA DOURADA),0
14940060,IGARAPÉ DO BOLIVIA (PONTE TORQUARTO),0
14940080,IGARAPÉ DO MINDU (PROX. PARQUE NASCENTE),0
14940090,IGARAPÉ DO PASSARINHO (AV.TEN. ROXANA),0
14940100,RIO TARUMÃ - JUSANTE,0
14941000,RIO CUIEIRAS,0
14941080,RIO CUIEIRAS (ANTES DA FAZENDA GONÇALVES),0
14941090,RIO CUIEIRAS (APÓS A COM. NOVA ESPERANÇA),0
14941100,COMUNIDADE NOVA ESPERANÇA,0
14941120,RIO CUIEIRAS (ANTES DA COM. NOVA ESPERANÇA),0
14941140,RIO CUIEIRAS (COMUNIDADE CANAÃ),0
14941170,RIO CUIEIRAS (ANTES DA COMUNIDADE CANAÃ),0
14941200,COMUNIDADE SÃO SEBASTIÃO,0
14941230,RIO CUIEIRAS (COMUNIDADE TRÊS RIOS),0
14970000,IGARAPÉ DO MINDÚ,0
14970100,IGARAPÉ DO MINDU (HIPER DB),0
14979400,IGARAPÉ DO QUARENTA (PRÓXIMA A NASCENTE),0
14979600,IGARAPÉ DO QUARENTA (UNIPLAST DESCARTÁVEIS),0
14979800,IGARAPÉ DO QUARENTA (ELIZA MIRANDA),0
14980000,MANAUS 2000,0
14980020,PONTA DAS LAJES (CAPTAÇÃO),0
14980060,IGARAPÉ CACHOEIRINHA (PROX. CMPM),0
14980200,IGARAPÉ DO QUARENTA (WM EXTINTORES),0
14980700,IGARAPÉ EDUCANDOS (PONTE DOS EDUCANOS),0
14980800,IGARAPÉ MESTRE CHICO (PONTE 7 DE SETEMBRO),0
14981000,IGARAPÉ DO QUARENTA (PAC),0
14990000,MANAUS,1
14990004,MANAUS,0
14990100,RIO NEGRO (CAPTAÇÃO DE ÁGUA),0
15030000,JATUARANA,1
15030100,JATUARANA,0
15031000,COMUNIDADE BOM SUCESSO,0
15035000,AUTAZES,0
15035100,URUCURITUBA,0
15040000,CAREIRO,1
15042000,RIO PRETO DA EVA,0
15042100,PORTO UNIÃO,0
15042150,PORTO NOVO REMANSO,0
15042200,IRACEMA,0
15042900,UHE GUAPORÉ MONTANTE 2,0
15043000,UHE GUAPORÉ MONTANTE 1,1
15044000,UHE GUAPORÉ BARRAMENTO,1
15044100,UHE GUAPORÉ JUSANTE,1
15045000,FAZENDA GUAPÉ,0
15045950,PCH NOVA GUAPORÉ BARRAMENTO,1
15046000,PCH NOVA GUAPORÉ JUSANTE,1
15046050,UHE GUAPORÉ CÓRREGO PALMITAL,1
15050000,PONTES E LACERDA,0
15050001,PONTES E LACERDA,1
15100000,FAZENDA INDIARAMA,0
15120000,VILA BELA DA SANTISSIMA TRINDADE,0
15120001,MATO GROSSO,0
15120002,VILA BELA ST.TRINDADE,1
15120500,PCH SALTO CORGÃO BARRAMENTO,1
15121000,PCH SALTO CORGÃO JUSANTE,1
15121400,CGH NOVA LACERDA BARRAMENTO,1
15121500,CGH NOVA LACERDA JUSANTE,1
15122000,PCH RIO PRATA JUSANTE,1
15123000,PCH ESPERANÇA JUSANTE,1
15123080,PCH CABIXI II BARRAMENTO,1
15123100,PCH CABIXI II JUSANTE,1
15123200,PCH CABIXI BARRAMENTO,1
15123500,PCH CABIXI JUSANTE,1
15124000,PRÓXIMO VILHENA,0
15124009,CABIXI,1
15124100,CABIXI,0
15124500,FAZENDA AGROMEL,0
15124600,CGH MIRANDA ESTÂNCIA BARRAMENTO,1
15124610,CGH MIRANDA ESTÂNCIA JUSANTE,1
15125000,PRÓXIMO VILHENA,0
15125010,CGH RIO VERMELHO BARRAMENTO,1
15125020,CGH RIO VERMELHO JUSANTE,1
15128000,SETE VOLTAS,0
15128500,CGH RIO ENGANADO BARRAMENTO,0
15128800,CGH RIO ENGANADO JUSANTE,1
15128900,PCH CASTAMAN II JUSANTE,0
15128950,CGH MARGARIDA BARRAMENTO,0
15129000,CGH MARGARIDA JUSANTE,1
15130000,PIMENTEIRAS,1
15130001,PIMENTEIRAS DO OESTE,0
15135000,CORUMBIARA,0
15138000,CGH SANTA LUZIA D'OESTE RIO BRANCO,1
15143000,CGH SANTA LUZIA D'OESTE MONTANTE,1
15145000,CGH SANTA LUZIA D'OESTE JUSANTE,1
15148000,ALTA FLORESTA D'OESTE,0
15150000,PEDRAS NEGRAS,1
15150001,SÃO FRANCISCO DO GUAPORÉ,0
15150200,CGH SÃO JOÃO PA BARRAMENTO,1
15150220,CGH SÃO JOÃO PA JUSANTE,1
15150300,CGH ALTOÉ II BARRAMENTO,0
15150500,CGH ALTOÉ II JUSANTE,1
15150800,PCH ALTA FLORESTA MONTANTE 2,1
15151000,PCH ALTA FLORESTA MONTANTE 1,1
15151500,PCH ALTA FLORESTA BARRAMENTO,1
15152000,PCH ÂNGELO CASSOL BARRAMENTO,1
15152500,PCH ÂNGELO CASSOL JUSANTE,1
15160000,PCH ALTA FLORESTA MONTANTE,0
15160010,PCH ALTA FLORESTA JUSANTE,0
15168990,PCH CACHOEIRA CACHIMBO ALTO MONTANTE,0
15169000,PCH CACHOEIRA CACHIMBO ALTO BARRAMENTO,1
15170000,CACHOEIRA DO CACHIMBO,0
15170200,PCH CACHOEIRA CACHIMBO ALTO JUSANTE,1
15170600,PCH RIO BRANCO BARRAMENTO,1
15170700,PCH RIO BRANCO JUSANTE,1
15170900,PCH FIGUEIRA MONTANTE,1
15171000,PCH FIGUEIRA BARRAMENTO,1
15171050,PCH FIGUEIRA JUSANTE,1
15171100,PCH SALDANHA JUSANTE,1
15171800,PCH MONTE BELO BARRAMENTO,1
15172000,PCH MONTE BELO JUSANTE,1
15175000,PONTE RIO BRANCO,0
15180000,SÃO MIGUEL DO GUAPORÉ,0
15180001,SÃO MIGUEL DO GUAPORÉ,0
15190000,SÃO FRANCISCO DO GUAPORÉ,0
15200000,PRINCIPE DA BEIRA,1
15200001,COSTA MARQUES,0
15200010,UHE JIRAU PRÍNCIPE DA BEIRA,1
15201000,PUERTO USTAREZ (Príncipe da Beira),0
15220000,RIO PURAQUEQUARA (AM-010),0
15220600,RIO PURAQUEQUARA (PRÓXIMO ESCOLA SÃO LUIZ),0
15220700,RIO PURAQUEQUARA (APÓS BIM BAR),0
15220800,RIO PURAQUEQUARA (APÓS ESTALEIRO AMAZONIA),0
